,,trading_code,,
,,UNILEVERCL,Unilever Bangladesh,
,,BERGERPBL,Berger Paints Bangladesh Limited,
,,BATASHOE,Bata Shoe Company (Bangladesh) Limited,
,,RECKITTBEN,Reckitt Benckiser (Bangladesh) PLC,
,,MARICO,Marico Bangladesh Limited,
,,EASTRNLUB,Eastern Lubricants Blenders PLC.,
,,LINDEBD,Linde Bangladesh Limited,
,,LIBRAINFU,Libra Infusions Limited,
,,AMBEEPHA,Ambee Pharmaceuticals PLC,
,,RENATA,Renata PLC,
,,RENWICKJA,Renwick Jajneswar & Co (Bd) Ltd.,
,,PHARMAID,Pharma Aids,
,,KOHINOOR,Kohinoor Chemicals Company (Bangladesh) Ltd.,
,,WALTONHIL,Walton Hi-Tech Industries PLC,
,,MONNOAGML,Monno Agro & General Machinery Limited,
,,ORIONINFU,Orion Infusion Ltd.,
,,BATBC,British American Tobacco Bangladesh Company Limited,
,,GP,Grameenphone Ltd.,
,,IBNSINA,The IBN SINA  Pharmaceutical Industry PLC,
,,JUTESPINN,Jute Spinners Ltd.,
,,SONALIANSH,Sonali Aansh Industries Limited,
,,KAY&QUE,Kay & Que (Bangladesh) Ltd.,
,,SQURPHARMA,Square Pharmaceuticals PLC.,
,,HEIDELBCEM,Heidelberg Materials Bangladesh PLC.,
,,APEXFOODS,Apex Foods Limited,
,,FINEFOODS,Fine Foods Limited,
,,AMCL(PRAN),Agricultural Marketing Company Ltd. (Pran),
,,APEXFOOT,Apex Footwear Limited.,
,,NTC,National Tea Company Ltd.,
,,PADMAOIL,Padma Oil Co. Ltd.,
,,JAMUNAOIL,Jamuna Oil Company Limited,
,,ARAMIT,Aramit Limited,
,,OLYMPIC,Olympic Industries Ltd.,
,,GEMINISEA,Gemini Sea Food PLC,
,,ACI,ACI  Limited,
,,SONALIPAPR,Sonali Paper & Board Mills Ltd.,
,,RANFOUNDRY,Rangpur Foundry Ltd.,
,,PRAGATILIF,Pragati Life Insurance Ltd.,
,,JMISMDL,JMI Syringes & Medical Devices Ltd.,
,,UPGDCL,United Power Generation & Distribution Company Ltd.,
,,BEACONPHAR,Beacon Pharmaceuticals PLC,
,,GQBALLPEN,GQ Ball Pen Industries Ltd.,
,,KBPPWBIL,Khan Brothers PP Woven Bag Industries Limited,
,,ACIFORMULA,ACI Formulations Limited,
,,AL-HAJTEX,Al-Haj Textile Mills Limited,
,,RAHIMTEXT,Rahim Textile Mills PLC.,
,,NORTHERN,Northern Jute Manufacturing Co. Ltd.,
,,BSCPLC,Bangladesh Submarine Cables PLC,
,,MONOSPOOL,Bangladesh Monospool Paper Manufacturing Co. Limited,
,,WATACHEM,Wata Chemicals Limited,
,,SINGERBD,Singer Bangladesh Limited,
,,TAMIJTEX,Tamijuddin Textile Mills PLC,
,,PAPERPROC,Paper Processing & Packaging Limited,
,,NATLIFEINS,National Life Insurance PLC,
,,SHYAMPSUG,Shyampur Sugar Mills Ltd.,
,,BDLAMPS,Bangladesh Lamps Limited,
,,RUPALILIFE,Rupali Life Insurance Company Limited,
,,ECABLES,Eastern Cables Ltd.,
,,CVOPRL,CVO Petrochemical Refinery PLC.,
,,ZEALBANGLA,Zeal Bangla Sugar Mills Ltd.,
,,APEXSPINN,Apex Spinning & Knitting Mills Limited,
,,MJLBD,MJL Bangladesh PLC.,
,,HAMI,Hami Industries PLC,
,,BANGAS,Bangas Ltd.,
,,RAHIMAFOOD,Rahima Food Corporation Limited,
,,BDAUTOCA,Bangladesh Autocars Ltd.,
,,BSC,Bangladesh Shipping Corporation,
,,AIL,Alif Industries Limited,
,,BXPHARMA,Beximco Pharmaceuticals Ltd.,
,,LOVELLO,Taufika Foods and Lovello Ice-cream PLC,
,,NTLTUBES,National Tubes Limited,
,,DELTALIFE,Delta Life Insurance Company Ltd.,
,,DSHGARME,Desh Garments Ltd.,
,,ADNTEL,ADN Telecom Limited,
,,DULAMIACOT,Dulamia Cotton Spinning Mills Ltd.,
,,ONEBANKPLC,One Bank PLC,
,,BSRMLTD,Bangladesh Steel Re-Rolling Mills Limited,
,,ACMELAB,The ACME Laboratories Limited,
,,APEXTANRY,Apex Tannery Limited,
,,ICB,Investment Corporation Of Bangladesh,
,,STANCERAM,Standard Ceramic Industries Ltd.,
,,INDEXAGRO,Index Agro Industries Limited,
,,MONNOCERA,Monno Ceramic Industries Ltd.,
,,EHL,Eastern Housing Limited,
,,ANWARGALV,Anwar Galvanizing Ltd.,
,,SUNLIFEINS,Sunlife Insurance Company Limited,
,,DAFODILCOM,Daffodil Computers Ltd.,
,,CONFIDCEM,Confidence Cement PLC.,
,,RELIANCINS,Reliance Insurance Ltd.,
,,MEGHNALIFE,Meghna Life Insurance Co. Ltd.,
,,ATLASBANG,Atlas Bangladesh Ltd.,
,,STYLECRAFT,Stylecraft Limited,
,,EIL,Express Insurance Limited,
